site,cookie banner,accept,necessary,reject,custom
https://www.gigabyte.com/,yes,no,no,,
https://www.singaporeair.com/,yes,yes,yes,,
https://www.formula1.com/,yes,yes,no,,
https://www.virginatlantic.com/,yes,yes,yes,,
https://www.chrysal.com/en-us,yes,no,no,,
https://www.dailymotion.com/,yes,yes,yes,,
https://www.danskebank.com/,yes,no,yes,,
https://www.springer.com/,yes,yes,no,,
https://www.ubuntu.com/,yes,yes,yes,,
https://www.volkswagen.com.sg/,yes,yes,yes,,
https://stackoverflow.com/,yes,yes,yes,,
https://leica-camera.com/en-SG,yes,yes,yes,,
https://dictionary.cambridge.org/,yes,yes,yes,,
https://www.cambridge.org/,yes,yes,yes,,
https://www.faber-castell.com/,yes,no,no,,
https://nus.edu.sg/,yes,no,no,,
https://www.ft.com/,yes,no,no,,
https://www.lawinsider.com/,yes,yes,yes,,
https://www.sassymamasg.com/,yes,no,no,,
https://www.biomedcentral.com/,yes,yes,no,,
https://www.nhs.uk/,yes,yes,yes,,
https://www.lufthansa.com/sg/en/homepage,yes,yes,yes,,
https://wwws.airfrance.sg/,yes,yes,yes,,
https://bab.la/,yes,yes,yes,,
https://www.sorbonne-universite.fr/,yes,yes,yes,,
https://www.gucci.com/us/en/,yes,yes,yes,,
https://affinity.serif.com/en-us/,yes,yes,no,,
https://www.bauhaus.cz/,yes,no,no,,
https://www.begadi.com/,yes,no,no,,
https://www.benq.com/en-sg/index.html,yes,yes,yes,,
https://www.bol.com/nl/nl/,yes,yes,yes,,
https://borlabs.io/,yes,no,no,,
https://www.cdiscount.com/,yes,yes,no,,
https://complianz.io/,yes,no,no,,
https://www.consentmanager.net/,yes,no,no,,
https://cookie-bar.eu/,yes,yes,yes,,
https://www.cookielab.io/,yes,no,no,,
https://cookie-script.com/,yes,no,no,,
https://cookiewow.com/,yes,no,no,,
https://webedia-group.com/,yes,yes,yes,,
https://www.deepl.com/en/translator,yes,yes,yes,,
https://www.didomi.io/,yes,yes,yes,,
https://designilpdpa.com/,yes,no,no,,
https://www.eurorepar.com/GB-en/,yes,no,no,,
https://www.easycookie.io/,yes,no,no,,
https://www.fanatical.com/en/,yes,yes,no,,
https://www.flysas.com/,yes,yes,yes,,
https://gfycat.com/,yes,no,no,,
https://www.gov.uk/,yes,yes,yes,,
https://www.gravito.net/,yes,yes,yes,,
https://www.hampshire.police.uk/,yes,no,no,,
https://www.ikea.com/sg/en/,yes,yes,yes,,
https://www.ionos.com/,yes,yes,yes,,
https://www.iubenda.com/en/,yes,yes,yes,,
https://www.k-m.de/en/,yes,no,no,,
https://www.kk.dk/,yes,no,no,,
https://www.ku.dk/,yes,no,no,,
https://www.laitapro.fr/,yes,yes,yes,,
https://www.lego.com/en-sg,yes,no,no,,
https://www.lemonde.fr/,yes,no,no,,
https://www.les-atlantes.fr/,yes,no,no,,
https://www.lucide.com/en/,yes,no,no,,
https://www.marktplaats.nl/,yes,yes,yes,,
https://www.moneysavingexpert.com/,yes,yes,yes,,
https://www.mydealz.de/,yes,yes,yes,,
https://www.nd.nl/,yes,yes,yes,,
https://www.nordnet.dk/dk,yes,yes,yes,,
https://www.nordpoolgroup.com/en/,yes,yes,yes,,
https://www.onetrust.com/,yes,yes,no,,
https://www.osano.com/,yes,no,no,,
https://phpipam.net/,yes,no,no,,
https://www.pricerunner.dk/,yes,yes,yes,,
https://www.saturn.de/,yes,yes,yes,,
https://sylius.com/partner/setono/,yes,no,no,,
https://snigel.com/,yes,no,no,,
https://suchen.mobile.de/,yes,no,no,,
https://www.sundhed.dk/,yes,no,no,,
https://thenextweb.com/,yes,yes,yes,,
https://www.truendo.com/,yes,yes,yes,,
https://trustarc.com/,yes,no,no,,
https://www.tui.co.uk/,yes,yes,yes,,
https://ufm.dk/,yes,no,no,,
https://www.uniconsent.com/,yes,yes,yes,,
https://usercentrics.com/,yes,no,no,,
https://yle.fi/,yes,yes,no,,
https://www.wshop.com/,yes,no,no,,
https://www.ebay.de/,yes,yes,yes,,
https://www.pcmag.com/,yes,yes,yes,,
https://www.globo.com/,yes,no,no,,
https://www.bbb.org/,yes,yes,yes,,
https://www.mercari.com/,yes,no,no,,
https://www.overstock.com/,yes,no,no,,
https://www.stern.de/,yes,no,no,,
https://www.olx.ua/uk/,yes,yes,yes,,
https://www.nhsinform.scot/,yes,yes,yes,,
https://www.focus.de/,yes,no,yes,,
https://european-union.europa.eu/index_en,yes,no,no,,
https://www.lefigaro.fr/,yes,no,no,,
https://www.pagesjaunes.fr/,yes,no,no,,
https://www.tum.de/,yes,yes,yes,,
